Chan1 - Left		533-543
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	561	540	550	555	608	596	217894
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	560	538	550	551	607	590	218008
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	560	537	554	554	609	588	218123
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	565	543	555	552	608	588	218236
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	564	538	554	553	609	593	218351
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	562	539	551	549	607	598	218465
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	558	535	556	555	608	600	218579
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	564	540	553	554	609	595	218693
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	560	537	549	553	611	589	218808
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	559	537	550	552	611	588	218921
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	558	536	556	557	608	590	219036
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	565	541	552	553	611	596	219150
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	563	537	551	552	610	598	219265
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	560	535	548	549	605	597	219378
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	559	537	554	554	609	592	219493
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	562	542	554	552	608	587	219607
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	562	541	551	550	609	588	219721
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	560	535	548	551	607	593	219835
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	558	538	556	554	612	600	219950
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	565	541	552	552	609	599	220063
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	563	539	551	550	606	595	220178
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	559	536	548	552	608	590	220293
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	558	539	553	554	608	586	220406
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	563	542	552	552	612	589	220521
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	562	537	550	550	608	592	220635
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	559	536	551	553	610	599	220749
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	562	541	554	556	611	599	220863
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	566	541	552	551	608	594	220978
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	562	539	552	552	610	589	221091
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	560	537	550	554	607	588	221206
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	558	541	553	554	609	590	221320
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	563	540	552	553	609	597	221434
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	560	538	551	550	608	599	221548
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	559	536	551	553	609	598	221663
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	559	544	556	557	612	593	221776
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	563	539	551	551	609	587	221891
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	561	540	552	551	609	586	222005
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	560	537	551	557	607	591	222119
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	560	546	554	554	610	599	222233
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	562	540	553	555	610	599	222348





Chan1 - Left	533-543
Netrual				546-557
Right					557-567


Trial 2!
Left - 546-552
sig:	0	length	552	Servo dead
sig:	0	length	546	Servo dead
sig:	0	length	548	Servo dead
sig:	0	length	550	Servo dead
sig:	0	length	552	Servo dead
sig:	0	length	547	Servo dead
sig:	0	length	548	Servo dead
sig:	0	length	550	Servo dead
sig:	0	length	551	Servo dead
sig:	0	length	546	Servo dead
sig:	0	length	548	Servo dead
sig:	0	length	549	Servo dead
sig:	0	length	551	Servo dead
sig:	0	length	546	Servo dead
sig:	0	length	548	Servo dead
sig:	0	length	549	Servo dead
sig:	0	length	551	Servo dead
sig:	0	length	546	Servo dead
sig:	0	length	548	Servo dead
sig:	0	length	549	Servo dead
sig:	0	length	551	Servo dead
sig:	0	length	546	Servo dead
sig:	0	length	547	Servo dead
sig:	0	length	549	Servo dead
sig:	0	length	551	Servo dead
sig:	0	length	547	Servo dead
sig:	0	length	547	Servo dead
sig:	0	length	549	Servo dead
sig:	0	length	550	Servo dead
sig:	0	length	550	Servo dead
sig:	0	length	547	Servo dead
sig:	0	length	548	Servo dead
sig:	0	length	550	Servo dead
sig:	0	length	552	Servo dead
sig:	0	length	546	Servo dead
sig:	0	length	548	Servo dead
sig:	0	length	549	Servo dead
sig:	0	length	551	Servo dead
sig:	0	length	546	Servo dead
sig:	0	length	548	Servo dead
sig:	0	length	550	Servo dead
sig:	0	length	552	Servo dead
sig:	0	length	546	Servo dead

Netrual - 561 - 568
sig:	0	length	563	Servo high
sig:	0	length	562	Servo high
sig:	0	length	562	Servo high
sig:	0	length	563	Servo high
sig:	0	length	563	Servo high
sig:	0	length	564	Servo high
sig:	0	length	564	Servo high
sig:	0	length	564	Servo high
sig:	0	length	565	Servo high
sig:	0	length	565	Servo high
sig:	0	length	566	Servo high
sig:	0	length	566	Servo high
sig:	0	length	566	Servo high
sig:	0	length	567	Servo high
sig:	0	length	567	Servo high
sig:	0	length	568	Servo high
sig:	0	length	566	Servo high
sig:	0	length	561	Servo high
sig:	0	length	562	Servo high
sig:	0	length	562	Servo high
sig:	0	length	563	Servo high
sig:	0	length	563	Servo high
sig:	0	length	564	Servo high
sig:	0	length	564	Servo high
sig:	0	length	564	Servo high
sig:	0	length	565	Servo high
sig:	0	length	565	Servo high
sig:	0	length	566	Servo high
sig:	0	length	566	Servo high
sig:	0	length	567	Servo high
sig:	0	length	567	Servo high
sig:	0	length	567	Servo high
sig:	0	length	568	Servo high
sig:	0	length	564	Servo high
sig:	0	length	562	Servo high
sig:	0	length	562	Servo high
sig:	0	length	563	Servo high
sig:	0	length	563	Servo high
sig:	0	length	564	Servo high
sig:	0	length	564	Servo high
sig:	0	length	564	Servo high
sig:	0	length	568	Servo high

Right - 572 - 578
sig:	0	length	572	Bad input
sig:	0	length	575	Bad input
sig:	0	length	577	Bad input
sig:	0	length	573	Bad input
sig:	0	length	576	Bad input
sig:	0	length	572	Bad input
sig:	0	length	574	Bad input
sig:	0	length	577	Bad input
sig:	0	length	573	Bad input
sig:	0	length	575	Bad input
sig:	0	length	573	Bad input
sig:	0	length	574	Bad input
sig:	0	length	577	Bad input
sig:	0	length	572	Bad input
sig:	0	length	575	Bad input
sig:	0	length	577	Bad input
sig:	0	length	573	Bad input
sig:	0	length	576	Bad input
sig:	0	length	572	Bad input
sig:	0	length	575	Bad input
sig:	0	length	578	Bad input
sig:	0	length	573	Bad input
sig:	0	length	576	Bad input
sig:	0	length	572	Bad input
sig:	0	length	575	Bad input
sig:	0	length	577	Bad input
sig:	0	length	573	Bad input
sig:	0	length	576	Bad input
sig:	0	length	572	Bad input
sig:	0	length	574	Bad input
sig:	0	length	577	Bad input
sig:	0	length	573	Bad input
sig:	0	length	575	Bad input
sig:	0	length	575	Bad input
sig:	0	length	574	Bad input
sig:	0	length	576	Bad input
sig:	0	length	572	Bad input
sig:	0	length	575	Bad input


Left -		546-552			6 points
							9 points
Netrual -		561-568		7 points
							4 points
Right -				572-578	6 points
